Name,Height
Nakia Usher,58.0
Julia Wyman,58.0
Scarlet Astudillo,64.0
Joscelyn  Galindo,63.0
Dea Gazheli,63.0
Amanda Lee,61.0
Katherine Lee,62.0
Jillian Quinn,65.0
Aanya Shukul,69.0
Nicole  Tarasiuk,67.0
Joyce  Wong,64.0
Amy Zeng,62.0
Aurora Abbruscato,66.0
Bianka Bukovics,71.0
Sophia Burwitz,66.0
Terrah DeLorimiere,63.0
Luiza Dias,68.0
McKenzie Fazio,74.0
Chiara Fuerst,67.0
Olivia Fuller,68.0
Atzi Gomez,63.0
Sarah Gormley,66.0
Presley Heitzmann,71.0
Alexis Kachkin,69.0
Natalia Kralova,69.0
Helena  Kurtz,64.0
Tumi Macdonell,68.0
Keianna Moss,68.0
Rylee Sitton,67.0
Caitlyn Sligh,68.0
Karley Sonnenberg,70.0
Olivia Terry,65.0
Logan Wilson,65.0
Jocelyn Zgola,70.0
Fifi  Amanuel,64.0
Julia Caramagna,62.0
Isabella Hanson,70.0
Mairin Huston,63.0
Maddy Joe,62.0
Grace Korey,70.0
Camila Mercado,61.0
Valeria Pages,61.0
Alazne Sudupe,65.0
Magdalen Swat,62.0
Sovy Taylor,65.0
Rachel Vazquez,65.0
Cami Yovich,62.0
Krisztina Balogh,66.0
Emma Bellars,65.0
Abby Burns,65.0
Alisa Dovbnya,68.0
Laney Fenton,66.0
Grace Geyer,71.0
Taylor Jacobson,61.0
Ashley Konz,68.0
Emma Lindecke,65.0
Abbie Masters,63.0
Teagan Powell,69.0
Vivian Ravines,68.0
Faith Ring,63.0
Sydney Stemley,66.0
Braelyn Wilson,65.0
Victoria Zjawin,64.0
